CODCATEGORIAECONOMICA;CODELEMENTODESPESA;CODGRUPONATUREZADESPESA;CODMODALIDADEAPLICACAO;CODORGAO;CODSUBELEMENTODESPESA;CATEGORIAECONOMICA;GRUPONATUREZADESPESA;MODALIDADEAPLICACAO;ELEMENTODESPESA;SUBELEMENTODESPESA;EXERCICIO;ANOMESEMISSAO;ANOEMISSAO;MESEMISSAO;NOMEORGAO;VALORLIQUIDADO;CODACAO;ACAO;CODPROGRAMA;PROGRAMA;VALORPAGO;VALOREMPENHADO
4;40;0;90;2402;82;"Despesas de Capital";"Não Agrupado";"APLICACOES DIRETAS";"Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica";"Aquisição de Software";2019;201907;2019;7;"SUBSEC. DE GOV. EDUCACIONAL";2650;2092;"GESTÃO DA TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO DA SEDUCE";1019;"PROGRAMA MELHORIA DA INFRAESTRUTURA FÍSICA, PEDAGÓGICA E TECNOLÓGICA";;
4;52;3;90;2402;11;"Despesas de Capital";"Tecnologia da Informação";"APLICACOES DIRETAS";"EQUIPAMENTOS E MATERIAL PERMANENTE";"Equipamentos de Tecnologia da Informação";2019;201907;2019;7;"SUBSEC. DE GOV. EDUCACIONAL";;2092;"GESTÃO DA TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO DA SEDUCE";1019;"PROGRAMA MELHORIA DA INFRAESTRUTURA FÍSICA, PEDAGÓGICA E TECNOLÓGICA";;137408
4;52;61;90;2402;24;"Despesas de Capital";"Demais Aquisições de Aparelhos e Equipamentos Diversos";"APLICACOES DIRETAS";"EQUIPAMENTOS E MATERIAL PERMANENTE";"Mobiliário em Geral";2019;201907;2019;7;"SUBSEC. DE GOV. EDUCACIONAL";1122800;2093;"MODERNIZAÇÃO DAS UNIDADES JURISDICIONADAS DA EDUCAÇÃO";1019;"PROGRAMA MELHORIA DA INFRAESTRUTURA FÍSICA, PEDAGÓGICA E TECNOLÓGICA";;
3;39;20;90;2402;40;"Despesas Correntes";"Repasse às Unidades Escolares / Auxílios para Educação e Pesquisa";"APLICACOES DIRETAS";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"Repasse Direto e Antecipado à Unidade Administrativa";2019;201907;2019;7;"SUBSEC. DE GOV. EDUCACIONAL";47996,16;2094;"GESTÃO DEMOCRÁTICA DAS JURISDICIONADAS DA EDUCAÇÃO - REPASSE DE RECURSOS";1019;"PROGRAMA MELHORIA DA INFRAESTRUTURA FÍSICA, PEDAGÓGICA E TECNOLÓGICA";866441,85;
4;52;20;90;2402;27;"Despesas de Capital";"Repasse às Unidades Escolares / Auxílios para Educação e Pesquisa";"APLICACOES DIRETAS";"EQUIPAMENTOS E MATERIAL PERMANENTE";"Repasse Direto e Antecipado à Unidade Administrativa";2019;201907;2019;7;"SUBSEC. DE GOV. EDUCACIONAL";11999,04;2094;"GESTÃO DEMOCRÁTICA DAS JURISDICIONADAS DA EDUCAÇÃO - REPASSE DE RECURSOS";1019;"PROGRAMA MELHORIA DA INFRAESTRUTURA FÍSICA, PEDAGÓGICA E TECNOLÓGICA";216610,51;
3;39;5;42;1750;83;"Despesas Correntes";"Locação, Manutenção e Estacionamento de Meios de Transporte";"EXECUÇÃO ORÇAMENTÁRIA DELEGADA A MUNICÍPIOS";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"Transporte de Alunos, Reeducandos e demais Pessoas sob cuidados do Estado";2019;201907;2019;7;"PROTEGE GOIÁS";10344050;2095;"TRANSPORTE ESCOLAR - TRANSFERÊNCIA DE RECURSOS FINANCEIROS ÀS PREFEITURAS E PAGAMENTO A EMPRESA";1019;"PROGRAMA MELHORIA DA INFRAESTRUTURA FÍSICA, PEDAGÓGICA E TECNOLÓGICA";10313948;
3;39;5;42;2402;83;"Despesas Correntes";"Locação, Manutenção e Estacionamento de Meios de Transporte";"EXECUÇÃO ORÇAMENTÁRIA DELEGADA A MUNICÍPIOS";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"Transporte de Alunos, Reeducandos e demais Pessoas sob cuidados do Estado";2019;201907;2019;7;"SUBSEC. DE GOV. EDUCACIONAL";0;2095;"TRANSPORTE ESCOLAR - TRANSFERÊNCIA DE RECURSOS FINANCEIROS ÀS PREFEITURAS E PAGAMENTO A EMPRESA";1019;"PROGRAMA MELHORIA DA INFRAESTRUTURA FÍSICA, PEDAGÓGICA E TECNOLÓGICA";;0
3;39;5;90;1750;83;"Despesas Correntes";"Locação, Manutenção e Estacionamento de Meios de Transporte";"APLICACOES DIRETAS";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"Transporte de Alunos, Reeducandos e demais Pessoas sob cuidados do Estado";2019;201907;2019;7;"PROTEGE GOIÁS";3809723,61;2095;"TRANSPORTE ESCOLAR - TRANSFERÊNCIA DE RECURSOS FINANCEIROS ÀS PREFEITURAS E PAGAMENTO A EMPRESA";1019;"PROGRAMA MELHORIA DA INFRAESTRUTURA FÍSICA, PEDAGÓGICA E TECNOLÓGICA";3583082,64;4190678,33
3;39;5;90;2402;83;"Despesas Correntes";"Locação, Manutenção e Estacionamento de Meios de Transporte";"APLICACOES DIRETAS";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"Transporte de Alunos, Reeducandos e demais Pessoas sob cuidados do Estado";2019;201907;2019;7;"SUBSEC. DE GOV. EDUCACIONAL";852236,42;2095;"TRANSPORTE ESCOLAR - TRANSFERÊNCIA DE RECURSOS FINANCEIROS ÀS PREFEITURAS E PAGAMENTO A EMPRESA";1019;"PROGRAMA MELHORIA DA INFRAESTRUTURA FÍSICA, PEDAGÓGICA E TECNOLÓGICA";852236,42;852236,42
3;92;0;42;2402;25;"Despesas Correntes";"Não Agrupado";"EXECUÇÃO ORÇAMENTÁRIA DELEGADA A MUNICÍPIOS";"DESPESAS DE EXERCÍCIOS ANTERIORES";"Demais Despesas de Exercícios Anteriores - Outras Despesas Correntes";2019;201907;2019;7;"SUBSEC. DE GOV. EDUCACIONAL";177560;2095;"TRANSPORTE ESCOLAR - TRANSFERÊNCIA DE RECURSOS FINANCEIROS ÀS PREFEITURAS E PAGAMENTO A EMPRESA";1019;"PROGRAMA MELHORIA DA INFRAESTRUTURA FÍSICA, PEDAGÓGICA E TECNOLÓGICA";177560;177560
3;39;80;90;1701;69;"Despesas Correntes";"Outras Despesas";"APLICACOES DIRETAS";"OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA";"Infrações de Trânsito";2019;201907;2019;7;"GAB. SECRETÁRIO DE ESTADO DA ECONOMIA";2016,25;2099;"EDUCAÇÃO FISCAL PARA O DESENVOLVIMENTO DA CIDADANIA";1022;"PROGRAMA INCREMENTO DA RECEITA TRIBUTÁRIA";2016,25;2016,25
3;45;40;90;1701;14;"Despesas Correntes";"Transferências a Empresas Públicas e de Economia Mista";"APLICACOES DIRETAS";"SUBVENÇÕES ECONÔMICAS";"Empresas Públicas, Economia Mista ou Fundações";2019;201907;2019;7;"GAB. SECRETÁRIO DE ESTADO DA ECONOMIA";296000;2099;"EDUCAÇÃO FISCAL PARA O DESENVOLVIMENTO DA CIDADANIA";1022;"PROGRAMA INCREMENTO DA RECEITA TRIBUTÁRIA";296000;296000
3;47;70;90;1701;6;"Despesas Correntes";"Obrigações Tributárias e Encargos Adicionais";"APLICACOES DIRETAS";"OBRIGAÇÕES TRIBUTÁRIAS E CONTRIBUTIVAS";"Taxas e Licenças (Administrativas/Judiciais/CREA/Prefeitura)";2019;201907;2019;7;"GAB. SECRETÁRIO DE ESTADO DA ECONOMIA";15323,03;2099;"EDUCAÇÃO FISCAL PARA O DESENVOLVIMENTO DA CIDADANIA";1022;"PROGRAMA INCREMENTO DA RECEITA TRIBUTÁRIA";15323,03;15323,03
3;30;2;90;1701;16;"Despesas Correntes";"Limpeza, Manutenção e Vigilância (Bens Móveis e Imóveis)";"APLICACOES DIRETAS";"MATERIAL DE CONSUMO";"Material de Limpeza e Produtos de Higienização";2019;201907;2019;7;"GAB. SECRETÁRIO DE ESTADO DA ECONOMIA";;2100;"OPERACIONALIZAÇÃO DAS AÇÕES DE INCREMENTO DA RECEITA TRIBUTÁRIA";1022;"PROGRAMA INCREMENTO DA RECEITA TRIBUTÁRIA";642,04;
3;30;2;90;1701;33;"Despesas Correntes";"Limpeza, Manutenção e Vigilância (Bens Móveis e Imóveis)";"APLICACOES DIRETAS";"MATERIAL DE CONSUMO";"Material para Manutenção, Reparos e Conservação de Bens Imóveis";2019;201907;2019;7;"GAB. SECRETÁRIO DE ESTADO DA ECONOMIA";1240;2100;"OPERACIONALIZAÇÃO DAS AÇÕES DE INCREMENTO DA RECEITA TRIBUTÁRIA";1022;"PROGRAMA INCREMENTO DA RECEITA TRIBUTÁRIA";3607,6;
3;30;2;90;1701;34;"Despesas Correntes";"Limpeza, Manutenção e Vigilância (Bens Móveis e Imóveis)";"APLICACOES DIRETAS";"MATERIAL DE CONSUMO";"Material para Manutenção, Reparos e Conservação de Bens Móveis";2019;201907;2019;7;"GAB. SECRETÁRIO DE ESTADO DA ECONOMIA";;2100;"OPERACIONALIZAÇÃO DAS AÇÕES DE INCREMENTO DA RECEITA TRIBUTÁRIA";1022;"PROGRAMA INCREMENTO DA RECEITA TRIBUTÁRIA";2041,42;
3;30;2;90;1701;51;"Despesas Correntes";"Limpeza, Manutenção e Vigilância (Bens Móveis e Imóveis)";"APLICACOES DIRETAS";"MATERIAL DE CONSUMO";"Material para Cozinha, Refeitórios e Afins";2019;201907;2019;7;"GAB. SECRETÁRIO DE ESTADO DA ECONOMIA";;2100;"OPERACIONALIZAÇÃO DAS AÇÕES DE INCREMENTO DA RECEITA TRIBUTÁRIA";1022;"PROGRAMA INCREMENTO DA RECEITA TRIBUTÁRIA";2200;1000
3;30;2;90;1751;33;"Despesas Correntes";"Limpeza, Manutenção e Vigilância (Bens Móveis e Imóveis)";"APLICACOES DIRETAS";"MATERIAL DE CONSUMO";"Material para Manutenção, Reparos e Conservação de Bens Imóveis";2019;201907;2019;7;"FUNDO MODERN. ADM. FAZENDÁRIA/FUNDAF-GO";9590,1;2100;"OPERACIONALIZAÇÃO DAS AÇÕES DE INCREMENTO DA RECEITA TRIBUTÁRIA";1022;"PROGRAMA INCREMENTO DA RECEITA TRIBUTÁRIA";;
3;30;5;90;1701;35;"Despesas Correntes";"Locação, Manutenção e Estacionamento de Meios de Transporte";"APLICACOES DIRETAS";"MATERIAL DE CONSUMO";"Material para Manutenção, Reparos e Conservação de Veículos";2019;201907;2019;7;"GAB. SECRETÁRIO DE ESTADO DA ECONOMIA";6219,02;2100;"OPERACIONALIZAÇÃO DAS AÇÕES DE INCREMENTO DA RECEITA TRIBUTÁRIA";1022;"PROGRAMA INCREMENTO DA RECEITA TRIBUTÁRIA";13075,75;
3;30;7;90;1701;9;"Despesas Correntes";"Fornecimento de Alimentação";"APLICACOES DIRETAS";"MATERIAL DE CONSUMO";"Gêneros Alimentícios";2019;201907;2019;7;"GAB. SECRETÁRIO DE ESTADO DA ECONOMIA";1491;2100;"OPERACIONALIZAÇÃO DAS AÇÕES DE INCREMENTO DA RECEITA TRIBUTÁRIA";1022;"PROGRAMA INCREMENTO DA RECEITA TRIBUTÁRIA";1189,22;16692,46
